x,y,theta,v,x_ref,y_ref,theta_ref
6.000000,0.000000,1.570796,0.000000,5.000000,0.000000,1.570796
6.000000,0.000000,1.570796,1.000000,4.999383,0.078537,1.586504
6.000000,0.050000,1.612911,0.000000,4.997533,0.157054,1.602212
6.000000,0.050000,1.612911,1.000000,4.994449,0.235532,1.617920
5.997895,0.099956,1.655025,0.000000,4.990134,0.313953,1.633628
5.997895,0.099956,1.655025,1.000000,4.984587,0.392295,1.649336
5.993688,0.149778,1.697140,0.000000,4.977810,0.470542,1.665044
5.993688,0.149778,1.697140,1.000000,4.969805,0.548672,1.680752
5.987388,0.199380,1.739254,0.000000,4.960574,0.626666,1.696460
5.987388,0.199380,1.739254,1.000000,4.950118,0.704506,1.712168
5.979005,0.248672,1.781368,0.000000,4.938442,0.782172,1.727876
5.979005,0.248672,1.781368,1.000000,4.925547,0.859646,1.743584
5.968554,0.297568,1.823483,0.000000,4.911436,0.936907,1.759292
5.968554,0.297568,1.823483,1.000000,4.896114,1.013936,1.775000
5.956054,0.345980,1.865597,0.000000,4.879584,1.090716,1.790708
5.956054,0.345980,1.865597,1.000000,4.861850,1.167227,1.806416
5.941526,0.393823,1.907712,0.000000,4.842916,1.243449,1.822124
5.941526,0.393823,1.907712,1.000000,4.822787,1.319365,1.837832
5.924997,0.441012,1.949826,0.000000,4.801468,1.394956,1.853540
5.924997,0.441012,1.949826,1.000000,4.778965,1.470202,1.869248
5.906496,0.487463,1.991941,0.000000,4.755283,1.545085,1.884956
5.906496,0.487463,1.991941,1.000000,4.730427,1.619587,1.900664
5.886056,0.533094,2.034055,0.000000,4.704404,1.693690,1.916372
5.886056,0.533094,2.034055,1.000000,4.677220,1.767374,1.932079
5.863713,0.577824,2.076169,0.000000,4.648882,1.840623,1.947787
5.863713,0.577824,2.076169,1.000000,4.619398,1.913417,1.963495
5.839506,0.621574,2.115181,0.000000,4.588773,1.985739,1.979203
5.839506,0.621574,2.115181,1.000000,4.557016,2.057572,1.994911
5.813612,0.664346,2.131203,0.000000,4.524135,2.128896,2.010619
5.813612,0.664346,2.131203,1.000000,4.490138,2.199696,2.026327
5.787035,0.706698,2.152874,0.000000,4.455033,2.269952,2.042035
5.787035,0.706698,2.152874,1.000000,4.418828,2.339649,2.057743
5.759547,0.748464,2.167907,0.000000,4.381533,2.408768,2.073451
5.759547,0.748464,2.167907,1.000000,4.343158,2.477293,2.089159
5.731434,0.789812,2.170383,0.000000,4.303710,2.545207,2.104867
5.731434,0.789812,2.170383,1.000000,4.263201,2.612493,2.120575
5.703219,0.831091,2.171700,0.000000,4.221640,2.679134,2.136283
5.703219,0.831091,2.171700,1.000000,4.179037,2.745114,2.151991
5.674950,0.872332,2.182028,0.000000,4.135403,2.810417,2.167699
5.674950,0.872332,2.182028,1.000000,4.090749,2.875026,2.183407
5.646256,0.913279,2.189471,0.000000,4.045085,2.938926,2.199115
5.646256,0.913279,2.189471,1.000000,3.998423,3.002101,2.214823
5.617258,0.954012,2.186986,0.000000,3.950775,3.064535,2.230531
5.617258,0.954012,2.186986,1.000000,3.902152,3.126213,2.246239
5.588362,0.994816,2.194771,0.000000,3.852566,3.187120,2.261947
5.588362,0.994816,2.194771,1.000000,3.802030,3.247240,2.277655
5.559148,1.035394,2.200756,0.000000,3.750555,3.306559,2.293363
5.559148,1.035394,2.200756,1.000000,3.698155,3.365063,2.309071
5.529693,1.075797,2.205563,0.000000,3.644843,3.422736,2.324779
5.529693,1.075797,2.205563,1.000000,3.590631,3.479564,2.340487
5.500043,1.116057,2.201663,0.000000,3.535534,3.535534,2.356194
5.500043,1.116057,2.201663,1.000000,3.479564,3.590631,2.371902
5.470551,1.156433,2.209214,0.000000,3.422736,3.644843,2.387610
5.470551,1.156433,2.209214,1.000000,3.365063,3.698155,2.403318
5.440755,1.196585,2.215540,0.000000,3.306559,3.750555,2.419026
5.440755,1.196585,2.215540,1.000000,3.247240,3.802030,2.434734
5.410705,1.236548,2.213229,0.000000,3.187120,3.852566,2.450442
5.410705,1.236548,2.213229,1.000000,3.126213,3.902152,2.466150
5.380748,1.276580,2.212862,0.000000,3.064535,3.950775,2.481858
5.380748,1.276580,2.212862,1.000000,3.002101,3.998423,2.497566
5.350805,1.316623,2.223773,0.000000,2.938926,4.045085,2.513274
5.350805,1.316623,2.223773,1.000000,2.875026,4.090749,2.528982
5.320428,1.356337,2.232841,0.000000,2.810417,4.135403,2.544690
5.320428,1.356337,2.232841,1.000000,2.745114,4.179037,2.560398
5.289691,1.395773,2.232760,0.000000,2.679134,4.221640,2.576106
5.289691,1.395773,2.232760,1.000000,2.612493,4.263201,2.591814
5.258958,1.435213,2.244166,0.000000,2.545207,4.303710,2.607522
5.258958,1.435213,2.244166,1.000000,2.477293,4.343158,2.623230
5.227777,1.474299,2.253797,0.000000,2.408768,4.381533,2.638938
5.227777,1.474299,2.253797,1.000000,2.339649,4.418828,2.654646
5.196220,1.513083,2.262331,0.000000,2.269952,4.455033,2.670354
5.196220,1.513083,2.262331,1.000000,2.199696,4.490138,2.686062
5.164334,1.551597,2.262180,0.000000,2.128896,4.524135,2.701770
5.164334,1.551597,2.262180,1.000000,2.057572,4.557016,2.717478
5.132454,1.590115,2.274142,0.000000,1.985739,4.588773,2.733186
