x,y,theta,v,x_ref,y_ref,theta_ref
6.000000,0.000000,1.570796,1.000000,5.000000,0.000000,1.570796
6.000000,0.050000,1.600775,1.000000,4.999383,0.078537,1.586504
5.998501,0.099978,1.630759,1.000000,4.997533,0.157054,1.602212
5.995505,0.149888,1.659143,1.000000,4.994449,0.235532,1.617920
5.991093,0.199693,1.687532,1.000000,4.990134,0.313953,1.633628
5.985270,0.249352,1.714358,1.000000,4.984587,0.392295,1.649336
5.978116,0.298838,1.741190,1.000000,4.977810,0.470542,1.665044
5.969638,0.348114,1.766493,1.000000,4.969805,0.548672,1.680752
5.959915,0.397160,1.790364,1.000000,4.960574,0.626666,1.696460
5.949025,0.445959,1.814243,1.000000,4.950118,0.704506,1.712168
5.936973,0.494485,1.836724,1.000000,4.938442,0.782172,1.727876
5.923832,0.542727,1.859213,1.000000,4.925547,0.859646,1.743584
5.909611,0.590662,1.880340,1.000000,4.911436,0.936907,1.759292
5.894379,0.638286,1.900197,1.000000,4.896114,1.013936,1.775000
5.878206,0.685597,1.920063,1.000000,4.879584,1.090716,1.790708
5.861095,0.732579,1.938695,1.000000,4.861850,1.167227,1.806416
5.843112,0.779233,1.957335,1.000000,4.842916,1.243449,1.822124
5.824263,0.825544,1.974778,1.000000,4.822787,1.319365,1.837832
5.804609,0.871519,1.991113,1.000000,4.801468,1.394956,1.853540
5.784207,0.917167,2.007455,1.000000,4.778965,1.470202,1.869248
5.763061,0.962476,2.022727,1.000000,4.755283,1.545085,1.884956
5.741226,1.007456,2.038006,1.000000,4.730427,1.619587,1.900664
5.718706,1.052097,2.052252,1.000000,4.704404,1.693690,1.916372
5.695552,1.096413,2.065550,1.000000,4.677220,1.767374,1.932079
5.671812,1.140418,2.078856,1.000000,4.648882,1.840623,1.947787
5.647487,1.184102,2.091251,1.000000,4.619398,1.913417,1.963495
5.622624,1.227482,2.102816,1.000000,4.588773,1.985739,1.979203
5.597260,1.270571,2.114387,1.000000,4.557016,2.057572,1.994911
5.571399,1.313364,2.125166,1.000000,4.524135,2.128896,2.010619
5.545079,1.355875,2.135225,1.000000,4.490138,2.199696,2.026327
5.518332,1.398120,2.145290,1.000000,4.455033,2.269952,2.042035
5.491162,1.440094,2.154672,1.000000,4.418828,2.339649,2.057743
5.463599,1.481810,2.164059,1.000000,4.381533,2.408768,2.073451
5.435645,1.523266,2.172800,1.000000,4.343158,2.477293,2.089159
5.407331,1.564476,2.180963,1.000000,4.303710,2.545207,2.104867
5.378680,1.605454,2.189130,1.000000,4.263201,2.612493,2.120575
5.349697,1.646196,2.196753,1.000000,4.221640,2.679134,2.136283
5.320403,1.686716,2.203892,1.000000,4.179037,2.745114,2.151991
5.290821,1.727026,2.211036,1.000000,4.135403,2.810417,2.167699
5.260951,1.767124,2.217730,1.000000,4.090749,2.875026,2.183407
5.230814,1.807021,2.224027,1.000000,4.045085,2.938926,2.199115
5.200426,1.846727,2.230329,1.000000,3.998423,3.002101,2.214823
5.169789,1.886241,2.236265,1.000000,3.950775,3.064535,2.230531
5.138918,1.925572,2.242205,1.000000,3.902152,3.126213,2.246239
5.107813,1.964720,2.247811,1.000000,3.852566,3.187120,2.261947
5.076490,2.003692,2.253130,1.000000,3.802030,3.247240,2.277655
5.044959,2.042497,2.286033,1.000000,3.750555,3.306559,2.293363
5.012170,2.080244,2.318938,1.000000,3.698155,3.365063,2.309071
4.978156,2.116892,2.351845,1.000000,3.644843,3.422736,2.324779
4.942955,2.152401,2.384752,1.000000,3.590631,3.479564,2.340487
4.906604,2.186732,2.417660,1.000000,3.535534,3.535534,2.356194
4.869144,2.219849,2.450568,1.000000,3.479564,3.590631,2.371902
4.830614,2.251715,2.483475,1.000000,3.422736,3.644843,2.387610
4.791057,2.282297,2.516381,1.000000,3.365063,3.698155,2.403318
4.750515,2.311560,2.549285,1.000000,3.306559,3.750555,2.419026
4.709032,2.339474,2.582187,1.000000,3.247240,3.802030,2.434734
4.666654,2.366008,2.615085,1.000000,3.187120,3.852566,2.450442
4.623425,2.391134,2.647981,1.000000,3.126213,3.902152,2.466150
4.579394,2.414824,2.680874,1.000000,3.064535,3.950775,2.481858
4.534607,2.437054,2.713762,1.000000,3.002101,3.998423,2.497566
4.489114,2.457799,2.746647,1.000000,2.938926,4.045085,2.513274
4.442963,2.477037,2.779527,1.000000,2.875026,4.090749,2.528982
4.396205,2.494747,2.812402,1.000000,2.810417,4.135403,2.544690
4.348889,2.510911,2.845272,1.000000,2.745114,4.179037,2.560398
4.301068,2.525511,2.878137,1.000000,2.679134,4.221640,2.576106
4.252794,2.538532,2.910996,1.000000,2.612493,4.263201,2.591814
4.204117,2.549960,2.943850,1.000000,2.545207,4.303710,2.607522
4.155092,2.559783,2.976697,1.000000,2.477293,4.343158,2.623230
4.105770,2.567990,3.009539,1.000000,2.408768,4.381533,2.638938
4.056205,2.574574,3.042374,1.000000,2.339649,4.418828,2.654646
4.006451,2.579527,3.075202,1.000000,2.269952,4.455033,2.670354
3.956561,2.582844,3.108024,1.000000,2.199696,4.490138,2.686062
3.906589,2.584522,3.140838,1.000000,2.128896,4.524135,2.701770
3.856589,2.584559,3.173646,1.000000,2.057572,4.557016,2.717478
3.806615,2.582957,3.206446,1.000000,1.985739,4.588773,2.733186
3.756720,2.579717,3.239239,1.000000,1.913417,4.619398,2.748894
3.706958,2.574842,3.272025,1.000000,1.840623,4.648882,2.764602
3.657383,2.568339,3.304803,1.000000,1.767374,4.677220,2.780309
3.608047,2.560215,3.337573,1.000000,1.693690,4.704404,2.796017
3.559005,2.550478,3.370335,1.000000,1.619587,4.730427,2.811725
3.510307,2.539141,3.403090,1.000000,1.545085,4.755283,2.827433
3.462007,2.526214,3.435836,1.000000,1.470202,4.778965,2.843141
3.414156,2.511713,3.468575,1.000000,1.394956,4.801468,2.858849
3.366805,2.495654,3.501305,1.000000,1.319365,4.822787,2.874557
3.320005,2.478054,3.534027,1.000000,1.243449,4.842916,2.890265
3.273806,2.458932,3.566740,1.000000,1.167227,4.861850,2.905973
3.228257,2.438309,3.599446,1.000000,1.090716,4.879584,2.921681
3.183407,2.416208,3.632143,1.000000,1.013936,4.896114,2.937389
3.139303,2.392652,3.664831,1.000000,0.936907,4.911436,2.953097
3.095993,2.367668,3.697511,1.000000,0.859646,4.925547,2.968805
3.053522,2.341282,3.730182,1.000000,0.782172,4.938442,2.984513
3.011936,2.313522,3.762845,1.000000,0.704506,4.950118,3.000221
2.971278,2.284420,3.795499,1.000000,0.626666,4.960574,3.015929
2.931593,2.254005,3.828145,1.000000,0.548672,4.969805,3.031637
2.892921,2.222311,3.860782,1.000000,0.470542,4.977810,3.047345
2.855304,2.189373,3.893410,1.000000,0.392295,4.984587,3.063053
2.818781,2.155224,3.926030,1.000000,0.313953,4.990134,3.078761
2.783392,2.119903,3.958641,1.000000,0.235532,4.994449,3.094469
2.749173,2.083447,3.991243,1.000000,0.157054,4.997533,3.110177
2.716161,2.045894,4.023836,1.000000,0.078537,4.999383,3.125885
2.684390,2.007286,4.056421,1.000000,0.000000,5.000000,3.141593
2.653894,1.967663,4.088998,1.000000,-0.078537,4.999383,3.157301
2.624704,1.927068,4.121565,1.000000,-0.157054,4.997533,3.173009
2.596852,1.885544,4.154124,1.000000,-0.235532,4.994449,3.188717
2.570366,1.843135,4.186675,1.000000,-0.313953,4.990134,3.204425
2.545275,1.799887,4.219217,1.000000,-0.392295,4.984587,3.220132
2.521603,1.755845,4.251750,1.000000,-0.470542,4.977810,3.235840
2.499377,1.711056,4.284275,1.000000,-0.548672,4.969805,3.251548
2.478620,1.665569,4.316792,1.000000,-0.626666,4.960574,3.267256
2.459352,1.619430,4.349300,1.000000,-0.704506,4.950118,3.282964
2.441594,1.572690,4.381800,1.000000,-0.782172,4.938442,3.298672
2.425364,1.525398,4.414292,1.000000,-0.859646,4.925547,3.314380
2.410678,1.477603,4.446776,1.000000,-0.936907,4.911436,3.330088
2.397553,1.429356,4.479251,1.000000,-1.013936,4.896114,3.345796
2.386002,1.380709,4.511719,1.000000,-1.090716,4.879584,3.361504
2.376036,1.331712,4.544178,1.000000,-1.167227,4.861850,3.377212
2.367665,1.282418,4.576630,1.000000,-1.243449,4.842916,3.392920
2.360898,1.232878,4.609074,1.000000,-1.319365,4.822787,3.408628
2.355741,1.183145,4.641511,1.000000,-1.394956,4.801468,3.424336
2.352200,1.133270,4.673939,1.000000,-1.470202,4.778965,3.440044
2.350278,1.083307,4.706361,1.000000,-1.545085,4.755283,3.455752
2.349977,1.033308,4.738775,1.000000,-1.619587,4.730427,3.471460
2.351296,0.983325,4.771182,1.000000,-1.693690,4.704404,3.487168
2.354234,0.933412,4.803582,1.000000,-1.767374,4.677220,3.502876
2.358787,0.883620,4.835975,1.000000,-1.840623,4.648882,3.518584
2.364951,0.834001,4.868361,1.000000,-1.913417,4.619398,3.534292
2.372718,0.784608,4.900741,1.000000,-1.985739,4.588773,3.550000
2.382080,0.735492,4.933115,1.000000,-2.057572,4.557016,3.565708
2.393027,0.686705,4.965482,1.000000,-2.128896,4.524135,3.581416
2.405547,0.638298,4.997843,1.000000,-2.199696,4.490138,3.597124
2.419626,0.590321,5.030198,1.000000,-2.269952,4.455033,3.612832
2.435251,0.542825,5.062548,1.000000,-2.339649,4.418828,3.628540
2.452403,0.495859,5.094893,1.000000,-2.408768,4.381533,3.644247
