x,y,theta,v,x_ref,y_ref,theta_ref
6.000000,0.000000,1.570796,1.000000,5.000000,0.000000,1.570796
6.000000,0.050000,1.596802,1.000000,4.999383,0.078537,1.586504
5.998700,0.099983,1.622124,1.000000,4.997533,0.157054,1.602212
5.996135,0.149917,1.646762,1.000000,4.994449,0.235532,1.617920
5.992340,0.199773,1.670715,1.000000,4.990134,0.313953,1.633628
5.987352,0.249524,1.693990,1.000000,4.984587,0.392295,1.649336
5.981208,0.299145,1.716591,1.000000,4.977810,0.470542,1.665044
5.973944,0.348614,1.738530,1.000000,4.969805,0.548672,1.680752
5.965597,0.397913,1.759817,1.000000,4.960574,0.626666,1.696460
5.956202,0.447022,1.780464,1.000000,4.950118,0.704506,1.712168
5.945795,0.495927,1.800487,1.000000,4.938442,0.782172,1.727876
5.934411,0.544614,1.819902,1.000000,4.925547,0.859646,1.743584
5.922085,0.593070,1.838724,1.000000,4.911436,0.936907,1.759292
5.908848,0.641287,1.856971,1.000000,4.896114,1.013936,1.775000
5.894734,0.689253,1.874661,1.000000,4.879584,1.090716,1.790708
5.879773,0.736962,1.891813,1.000000,4.861850,1.167227,1.806416
5.863997,0.784408,1.908447,1.000000,4.842916,1.243449,1.822124
5.847433,0.831585,1.924581,1.000000,4.822787,1.319365,1.837832
5.830111,0.878488,1.940235,1.000000,4.801468,1.394956,1.853540
5.812056,0.925115,1.955430,1.000000,4.778965,1.470202,1.869248
5.793295,0.971462,1.970185,1.000000,4.755283,1.545085,1.884956
5.773852,1.017527,1.984520,1.000000,4.730427,1.619587,1.900664
5.753751,1.063308,1.998455,1.000000,4.704404,1.693690,1.916372
5.733014,1.108805,2.012011,1.000000,4.677220,1.767374,1.932079
5.711662,1.154017,2.025207,1.000000,4.648882,1.840623,1.947787
5.689716,1.198943,2.038063,1.000000,4.619398,1.913417,1.963495
5.667193,1.243583,2.050597,1.000000,4.588773,1.985739,1.979203
5.644113,1.287937,2.062829,1.000000,4.557016,2.057572,1.994911
5.620492,1.332006,2.074778,1.000000,4.524135,2.128896,2.010619
5.596346,1.375789,2.086462,1.000000,4.490138,2.199696,2.026327
5.571691,1.419288,2.097898,1.000000,4.455033,2.269952,2.042035
5.546539,1.462501,2.109105,1.000000,4.418828,2.339649,2.057743
5.520905,1.505430,2.120098,1.000000,4.381533,2.408768,2.073451
5.494800,1.548074,2.130895,1.000000,4.343158,2.477293,2.089159
5.468237,1.590435,2.141510,1.000000,4.303710,2.545207,2.104867
5.441225,1.632510,2.151961,1.000000,4.263201,2.612493,2.120575
5.413775,1.674302,2.162260,1.000000,4.221640,2.679134,2.136283
5.385896,1.715808,2.172422,1.000000,4.179037,2.745114,2.151991
5.357597,1.757029,2.182461,1.000000,4.135403,2.810417,2.167699
5.328886,1.797963,2.192390,1.000000,4.090749,2.875026,2.183407
5.299769,1.838611,2.202220,1.000000,4.045085,2.938926,2.199115
5.270254,1.878970,2.211963,1.000000,3.998423,3.002101,2.214823
5.240348,1.919040,2.221630,1.000000,3.950775,3.064535,2.230531
5.210055,1.958819,2.231232,1.000000,3.902152,3.126213,2.246239
5.179382,1.998305,2.240778,1.000000,3.852566,3.187120,2.261947
5.148334,2.037497,2.250278,1.000000,3.802030,3.247240,2.277655
5.116914,2.076392,2.259739,1.000000,3.750555,3.306559,2.293363
5.085128,2.114988,2.269170,1.000000,3.698155,3.365063,2.309071
5.052980,2.153282,2.278578,1.000000,3.644843,3.422736,2.324779
5.020472,2.191273,2.287971,1.000000,3.590631,3.479564,2.340487
4.987609,2.228956,2.297353,1.000000,3.535534,3.535534,2.356194
4.954394,2.266329,2.306732,1.000000,3.479564,3.590631,2.371902
4.920830,2.303389,2.316112,1.000000,3.422736,3.644843,2.387610
4.886920,2.340133,2.325498,1.000000,3.365063,3.698155,2.403318
4.852666,2.376557,2.334895,1.000000,3.306559,3.750555,2.419026
4.818072,2.412657,2.344307,1.000000,3.247240,3.802030,2.434734
4.783139,2.448430,2.353737,1.000000,3.187120,3.852566,2.450442
4.747871,2.483872,2.363188,1.000000,3.126213,3.902152,2.466150
4.712269,2.518980,2.372664,1.000000,3.064535,3.950775,2.481858
4.676337,2.553748,2.382166,1.000000,3.002101,3.998423,2.497566
4.640075,2.588173,2.391698,1.000000,2.938926,4.045085,2.513274
4.603487,2.622251,2.401260,1.000000,2.875026,4.090749,2.528982
4.566575,2.655978,2.410856,1.000000,2.810417,4.135403,2.544690
4.529341,2.689349,2.420485,1.000000,2.745114,4.179037,2.560398
4.491787,2.722360,2.430150,1.000000,2.679134,4.221640,2.576106
4.453916,2.755006,2.439851,1.000000,2.612493,4.263201,2.591814
4.415730,2.787283,2.449590,1.000000,2.545207,4.303710,2.607522
4.377231,2.819187,2.459366,1.000000,2.477293,4.343158,2.623230
4.338423,2.850714,2.469181,1.000000,2.408768,4.381533,2.638938
4.299307,2.881857,2.479034,1.000000,2.339649,4.418828,2.654646
4.259886,2.912614,2.488926,1.000000,2.269952,4.455033,2.670354
4.220162,2.942980,2.498857,1.000000,2.199696,4.490138,2.686062
4.180139,2.972949,2.508828,1.000000,2.128896,4.524135,2.701770
4.139820,3.002518,2.518837,1.000000,2.057572,4.557016,2.717478
4.099206,3.031681,2.528885,1.000000,1.985739,4.588773,2.733186
4.058301,3.060436,2.538972,1.000000,1.913417,4.619398,2.748894
4.017109,3.088776,2.549098,1.000000,1.840623,4.648882,2.764602
3.975631,3.116697,2.559261,1.000000,1.767374,4.677220,2.780309
3.933872,3.144196,2.569462,1.000000,1.693690,4.704404,2.796017
3.891834,3.171267,2.579701,1.000000,1.619587,4.730427,2.811725
3.849522,3.197907,2.589976,1.000000,1.545085,4.755283,2.827433
3.806938,3.224110,2.600288,1.000000,1.470202,4.778965,2.843141
3.764086,3.249873,2.610636,1.000000,1.394956,4.801468,2.858849
3.720970,3.275191,2.621020,1.000000,1.319365,4.822787,2.874557
3.677593,3.300059,2.631439,1.000000,1.243449,4.842916,2.890265
3.633960,3.324475,2.641892,1.000000,1.167227,4.861850,2.905973
3.590074,3.348433,2.652380,1.000000,1.090716,4.879584,2.921681
3.545938,3.371930,2.662901,1.000000,1.013936,4.896114,2.937389
3.501558,3.394961,2.673455,1.000000,0.936907,4.911436,2.953097
3.456938,3.417522,2.684042,1.000000,0.859646,4.925547,2.968805
3.412081,3.439609,2.694662,1.000000,0.782172,4.938442,2.984513
3.366992,3.461219,2.705313,1.000000,0.704506,4.950118,3.000221
3.321676,3.482348,2.715996,1.000000,0.626666,4.960574,3.015929
3.276136,3.502991,2.726709,1.000000,0.548672,4.969805,3.031637
3.230378,3.523145,2.737453,1.000000,0.470542,4.977810,3.047345
3.184406,3.542807,2.748228,1.000000,0.392295,4.984587,3.063053
3.138225,3.561972,2.759031,1.000000,0.313953,4.990134,3.078761
3.091839,3.580637,2.769865,1.000000,0.235532,4.994449,3.094469
3.045254,3.598798,2.780727,1.000000,0.157054,4.997533,3.110177
2.998474,3.616452,2.791618,1.000000,0.078537,4.999383,3.125885
2.951505,3.633596,2.802537,1.000000,0.000000,5.000000,3.141593
2.904352,3.650226,2.813485,1.000000,-0.078537,4.999383,3.157301
2.857019,3.666338,2.824460,1.000000,-0.157054,4.997533,3.173009
2.809513,3.681930,2.835462,1.000000,-0.235532,4.994449,3.188717
2.761837,3.696999,2.846491,1.000000,-0.313953,4.990134,3.204425
2.713999,3.711541,2.857548,1.000000,-0.392295,4.984587,3.220132
2.666002,3.725553,2.868631,1.000000,-0.470542,4.977810,3.235840
2.617853,3.739032,2.879740,1.000000,-0.548672,4.969805,3.251548
2.569558,3.751976,2.890875,1.000000,-0.626666,4.960574,3.267256
2.521121,3.764381,2.902036,1.000000,-0.704506,4.950118,3.282964
2.472549,3.776244,2.913223,1.000000,-0.782172,4.938442,3.298672
2.423847,3.787564,2.924436,1.000000,-0.859646,4.925547,3.314380
2.375021,3.798336,2.935674,1.000000,-0.936907,4.911436,3.330088
2.326078,3.808560,2.946937,1.000000,-1.013936,4.896114,3.345796
2.277022,3.818231,2.958225,1.000000,-1.090716,4.879584,3.361504
2.227860,3.827348,2.969537,1.000000,-1.167227,4.861850,3.377212
2.178598,3.835909,2.980875,1.000000,-1.243449,4.842916,3.392920
2.129243,3.843910,2.992237,1.000000,-1.319365,4.822787,3.408628
2.079799,3.851350,3.003624,1.000000,-1.394956,4.801468,3.424336
2.030274,3.858227,3.015035,1.000000,-1.470202,4.778965,3.440044
1.980674,3.864538,3.026470,1.000000,-1.545085,4.755283,3.455752
1.931005,3.870281,3.037929,1.000000,-1.619587,4.730427,3.471460
1.881274,3.875455,3.049412,1.000000,-1.693690,4.704404,3.487168
1.831486,3.880057,3.060920,1.000000,-1.767374,4.677220,3.502876
1.781649,3.884087,3.072451,1.000000,-1.840623,4.648882,3.518584
1.731768,3.887541,3.084006,1.000000,-1.913417,4.619398,3.534292
1.681851,3.890419,3.095584,1.000000,-1.985739,4.588773,3.550000
1.631904,3.892718,3.107187,1.000000,-2.057572,4.557016,3.565708
1.581933,3.894438,3.118813,1.000000,-2.128896,4.524135,3.581416
1.531946,3.895577,3.130463,1.000000,-2.199696,4.490138,3.597124
1.481950,3.896134,3.142136,1.000000,-2.269952,4.455033,3.612832
1.431950,3.896107,3.153833,1.000000,-2.339649,4.418828,3.628540
1.381953,3.895495,3.165553,1.000000,-2.408768,4.381533,3.644247
1.331968,3.894297,3.177297,1.000000,-2.477293,4.343158,3.659955
1.282000,3.892512,3.189064,1.000000,-2.545207,4.303710,3.675663
1.232056,3.890139,3.200854,1.000000,-2.612493,4.263201,3.691371
1.182144,3.887178,3.212669,1.000000,-2.679134,4.221640,3.707079
1.132270,3.883627,3.224506,1.000000,-2.745114,4.179037,3.722787
1.082442,3.879486,3.236367,1.000000,-2.810417,4.135403,3.738495
1.032666,3.874755,3.248251,1.000000,-2.875026,4.090749,3.754203
0.982950,3.869432,3.260159,1.000000,-2.938926,4.045085,3.769911
0.933301,3.863517,3.272090,1.000000,-3.002101,3.998423,3.785619
0.883726,3.857011,3.284045,1.000000,-3.064535,3.950775,3.801327
0.834233,3.849912,3.296023,1.000000,-3.126213,3.902152,3.817035
0.784828,3.842221,3.308025,1.000000,-3.187120,3.852566,3.832743
0.735519,3.833938,3.320050,1.000000,-3.247240,3.802030,3.848451
0.686313,3.825063,3.332099,1.000000,-3.306559,3.750555,3.864159
0.637217,3.815595,3.344171,1.000000,-3.365063,3.698155,3.879867
0.588240,3.805535,3.356267,1.000000,-3.422736,3.644843,3.895575
0.539388,3.794883,3.368387,1.000000,-3.479564,3.590631,3.911283
0.490668,3.783641,3.380530,1.000000,-3.535534,3.535534,3.926991
0.442088,3.771807,3.392697,1.000000,-3.590631,3.479564,3.942699
0.393656,3.759383,3.404888,1.000000,-3.644843,3.422736,3.958407
0.345380,3.746370,3.417103,1.000000,-3.698155,3.365063,3.974115
0.297265,3.732768,3.429341,1.000000,-3.750555,3.306559,3.989823
0.249321,3.718579,3.441603,1.000000,-3.802030,3.247240,4.005531
0.201554,3.703802,3.453890,1.000000,-3.852566,3.187120,4.021239
0.153973,3.688440,3.466200,1.000000,-3.902152,3.126213,4.036947
0.106584,3.672493,3.478534,1.000000,-3.950775,3.064535,4.052655
0.059396,3.655963,3.490893,1.000000,-3.998423,3.002101,4.068362
0.012415,3.638851,3.503276,1.000000,-4.045085,2.938926,4.084070
-0.034350,3.621159,3.515682,1.000000,-4.090749,2.875026,4.099778
-0.080892,3.602887,3.528114,1.000000,-4.135403,2.810417,4.115486
-0.127204,3.584039,3.540569,1.000000,-4.179037,2.745114,4.131194
-0.173277,3.564615,3.553050,1.000000,-4.221640,2.679134,4.146902
-0.219103,3.544618,3.565554,1.000000,-4.263201,2.612493,4.162610
-0.264677,3.524049,3.578083,1.000000,-4.303710,2.545207,4.178318
-0.309989,3.502911,3.590637,1.000000,-4.343158,2.477293,4.194026
-0.355032,3.481206,3.603216,1.000000,-4.381533,2.408768,4.209734
-0.399799,3.458936,3.615819,1.000000,-4.418828,2.339649,4.225442
-0.444281,3.436103,3.628447,1.000000,-4.455033,2.269952,4.241150
-0.488471,3.412711,3.641101,1.000000,-4.490138,2.199696,4.256858
-0.532362,3.388761,3.653779,1.000000,-4.524135,2.128896,4.272566
-0.575946,3.364257,3.666482,1.000000,-4.557016,2.057572,4.288274
-0.619215,3.339201,3.679211,1.000000,-4.588773,1.985739,4.303982
-0.662161,3.313596,3.691965,1.000000,-4.619398,1.913417,4.319690
-0.704778,3.287446,3.704744,1.000000,-4.648882,1.840623,4.335398
-0.747057,3.260753,3.717549,1.000000,-4.677220,1.767374,4.351106
-0.788990,3.233522,3.730379,1.000000,-4.704404,1.693690,4.366814
-0.830571,3.205754,3.743235,1.000000,-4.730427,1.619587,4.382522
-0.871792,3.177454,3.756116,1.000000,-4.755283,1.545085,4.398230
-0.912644,3.148626,3.769024,1.000000,-4.778965,1.470202,4.413938
-0.953121,3.119272,3.781957,1.000000,-4.801468,1.394956,4.429646
-0.993215,3.089398,3.794916,1.000000,-4.822787,1.319365,4.445354
-1.032918,3.059007,3.807901,1.000000,-4.842916,1.243449,4.461062
-1.072224,3.028102,3.820913,1.000000,-4.861850,1.167227,4.476770
-1.111124,2.996689,3.833950,1.000000,-4.879584,1.090716,4.492477
-1.149611,2.964771,3.847014,1.000000,-4.896114,1.013936,4.508185
-1.187678,2.932353,3.860105,1.000000,-4.911436,0.936907,4.523893
-1.225317,2.899440,3.873222,1.000000,-4.925547,0.859646,4.539601
-1.262521,2.866036,3.886365,1.000000,-4.938442,0.782172,4.555309
-1.299283,2.832146,3.899536,1.000000,-4.950118,0.704506,4.571017
-1.335596,2.797774,3.912733,1.000000,-4.960574,0.626666,4.586725
-1.371452,2.762927,3.925957,1.000000,-4.969805,0.548672,4.602433
-1.406844,2.727608,3.939208,1.000000,-4.977810,0.470542,4.618141
-1.441764,2.691823,3.952486,1.000000,-4.984587,0.392295,4.633849
-1.476207,2.655578,3.965791,1.000000,-4.990134,0.313953,4.649557
-1.510164,2.618878,3.979124,1.000000,-4.994449,0.235532,4.665265
-1.543629,2.581728,3.992484,1.000000,-4.997533,0.157054,4.680973
-1.576595,2.544135,4.005871,1.000000,-4.999383,0.078537,4.696681
-1.609054,2.506104,4.019286,1.000000,-5.000000,0.000000,4.712389
-1.641001,2.467640,4.032729,1.000000,-4.999383,-0.078537,4.728097
-1.672427,2.428751,4.046199,1.000000,-4.997533,-0.157054,4.743805
-1.703327,2.389442,4.059698,1.000000,-4.994449,-0.235532,4.759513
-1.733693,2.349719,4.073224,1.000000,-4.990134,-0.313953,4.775221
-1.763520,2.309590,4.086779,1.000000,-4.984587,-0.392295,4.790929
-1.792799,2.269059,4.100361,1.000000,-4.977810,-0.470542,4.806637
-1.821526,2.228135,4.113972,1.000000,-4.969805,-0.548672,4.822345
-1.849692,2.186824,4.127611,1.000000,-4.960574,-0.626666,4.838053
-1.877293,2.145132,4.141279,1.000000,-4.950118,-0.704506,4.853761
-1.904321,2.103067,4.154975,1.000000,-4.938442,-0.782172,4.869469
-1.930771,2.060635,4.168700,1.000000,-4.925547,-0.859646,4.885177
-1.956636,2.017845,4.182454,1.000000,-4.911436,-0.936907,4.900885
